Date/Time,Word Count,en,ko
2025.11.13-16.52.22,157,157,0
2025.11.13-17.13.36,157,157,156
2025.11.13-19.00.50,157,157,157
2025.11.20-14.23.25,783,783,124
2025.11.20-16.16.21,783,783,783
2025.11.20-17.31.50,894,894,783
2025.11.20-17.37.20,894,894,894
2025.11.20-17.47.16,895,895,894
2025.11.21-13.42.10,900,900,883
2025.11.21-16.26.43,975,975,900
2025.11.23-13.46.35,1125,1125,975
2025.11.25-12.35.51,1136,1136,978
2025.12.01-04.32.15,1324,1324,980
2026.04.16-17.56.41,3355,3355,950
2026.04.16-18.14.04,3355,3355,951
2026.04.17-14.38.40,3355,3355,3315
2026.04.20-15.28.56,3355,3355,3324
2026.05.22-04.14.09,3845,3845,3139
2026.05.22-05.26.41,3845,3845,1871
2026.05.29-10.38.20,3878,3878,1850
2026.05.29-10.43.49,3879,3879,1850
2026.05.29-16.59.47,3899,3899,1871
2026.06.11-16.28.19,3915,3915,1885
2026.06.19-15.30.50,3924,3924,1891
2026.06.23-13.27.29,3937,3937,1891
2026.08.26-00.17.17,4444,4444,1904
